Column1,Column2,Column3
original_sentence,processed_sentence,term
"포럼은 국제신문이 부산테크노파크 부산연구원을 비롯해 주요 공기업, 민간 기업과 함께 2002년 2월 발족한 단체다.","포럼 국제신문 부산테크노파크 부산연구원 비롯해 주요 공기업, 민간 기업 함께 2002년 2월 발족한 단체다.",포럼
"포럼이 '에너지 대전환 도시 부산 만들기'를 주제로 분산에너지 특화지역, 원자력, 해상풍력 등을 활용할 방안으로 정한 이유다.","포럼 '에너지 대전환 도시 부산 만들기' 주제 분산에너지 특화지역, 원자력, 해상풍력 등 활용할 방안 정한 이유다.",포럼
포럼을 계기로 많은 시민이 친환경에너지 정보를 얻고 나부터 일상생활에서 탄소중립을 실천하기 바란다.,포럼 계기 많은 시민 친환경에너지 정보 얻고 나 일상생활 탄소중립 실천하기 바란다.,포럼
약 7000여 대의 농기계 피해에 대응해 수리 인력 73명과 이동정비 차량 55대를 현장에 투입해 수리와 농작업 대행을 진행 중이다.,약 7000여 대 농기계 피해 대응해 수리 인력 73명 이동정비 차량 55대 현장 투입해 수리 농작업 대행 진행 중이다.,수리
"해당 자금은 영농자재 50% 할인 공급, 농기계 수리, 농작업 대행 등에 사용된다.","해당 자금 영농자재 50% 할인 공급, 농기계 수리, 농작업 대행 등 사용된다.",수리
이를 위해 73명의 수리 인력과 55대의 이동 정비 차량을 피해 지역에 투입해 복구 작업를 지원하고 있다.,이 위해 73명 수리 인력 55대 이동 정비 차량 피해 지역 투입해 복구 작업 지원하고 있다.,수리
"부산경상대 김만규(소방행정안전관리과) 명예교수는 ""산불진화 헬기는 내구연한이 정해져 있지 않아 노후 기종도 계속해서 사용하는 데 제한이 없다""며 ""기준을 마련해 노후 기종의 사용을 지양, 사고를 예방해야 한다""고 말했다.","부산경상대 김만규(소방행정안전관리과) 명예교수 ""산불진화 헬기 내구연한 정해져 있지 않아 노후 기종 계속해서 사용하는 데 제한 없다""며 ""기준 마련해 노후 기종 사용 지양, 사고 예방해야 한다"" 말했다.",내구연한
또 피해지역 주민의 생활 안정과 농민 영농활동을 위해  비료 농약 등 영농자재 할인과 농기계 수리  임직원 성금 모금  전사적 일손돕기 등을 추진할 계획이다.,또 피해지역 주민 생활 안정 농민 영농활동 위해  비료 농약 등 영농자재 할인과 농기계 수리  임직원 성금 모금  전사적 일손돕기 등 추진할 계획이다.,수리
"9일 TBC에 따르면 경북 청송군에 이재민들을 위한 기부 물품이 현장에 도착하는 가운데, 물품 중에는 낡아 해진 옷과 먼지가 잔뜩 묻은 이불, 기름때 가득한 국자 등 사용이 불가능한 물품 등이 적지 않게 발견됐다.","9일 TBC 따르면 경북 청송군 이재민들 위한 기부 물품 현장 도착하는 가운데, 물품 중 낡아 해진 옷 먼지가 잔뜩 묻은 이불, 기름때 득한 국자 등 사용 불가능한 물품 등 적지 않게 발견됐다.",적지
"총리 차량의 통과를 위해 진화 차량이 멈춘 상황이 있었다면 그 판단은 실무 지휘선, 즉 경호 라인의 판단과 작전 매뉴얼에 따른 것일 가능성이 높다고 전문가는 설명했다.","총리 차량 통과 위해 진화 차량 멈춘 상황 있었다면 그 판단 실무 지휘선, 즉 경호 라인 판단 작전 매뉴얼 따른 것일 가능성 높다고 전문가 설명했다.",매뉴얼
"특히 ""의성군, 행정안전부 등 관계기관을 통해 소방차와 진화 차량 통제가 없었던 것으로 확인됐다""며 ""경호처는 행사 시 소방차, 구급차 등 긴급자동차에 대해 경호 차량보다 우선해 먼저 통행을 보장하는 경호 매뉴얼을 오랜 기간 시행해 왔고 의성 산불현장 방문 시에도 이 매뉴얼에 따라 업무를 수행했다""고 강조했다.","특히 ""의성군, 행정안전부 등 관계기관 통해 소방차 진화 차량 통제 없었던 것 확인됐다""며 ""경호처 행사 시 소방차, 구급차 등 긴급자동차 대해 경호 차량 우선해 먼저 통행 보장하는 경호 매뉴얼 오랜 기간 시행해 왔고 의성 산불현장 방문 시 이 매뉴얼 따라 업무 수행했다"" 강조했다.",매뉴얼
"재해자금은 영농자재 50% 할인 공급과 농기계 수리, 농작업 대행 등에 쓴다.","재해자금 영농자재 50% 할인 공급 농기계 수리, 농작업 대행 등 쓴다.",수리
농협은 수리 인력 73명과 이동정비차량 55대도 피해지역에 투입해 복구 작업을 지원할 계획이다.,농협 수리 인력 73명 이동정비차량 55대 피해지역 투입해 복구 작업 지원할 계획이다.,수리
"이외에도 고지우(삼천리), 안송이(KB금융그룹), 이가영(NH투자증권) 등 상금 순위 상위권에 올라와 있는 선수들도 이번 대회에 대거 출전해 각축을 벌일 예정이다.","이외도 고지우(삼천리), 안송이(KB금융그룹), 이가영(NH투자증권) 등 상금 순위 상위권 올라와 있는 선수들 이번 대회 대거 출전해 각축 벌일 예정이다.",각축
시정 전반을 조율할 수 있는 균형 잡힌 시각과 정책기획 감각을 겸비한 지역행정 전문가로서 시정 전반에 대한 통찰력과 조직관리 노하우를 보유한 것이 강점으로 꼽힌다.,시정 전반 조율할 수 있는 균형 잡힌 시각 정책기획 감각 겸비한 지역행정 전문가 시정 전반 대한 통찰력 조직관리 노하우 보유한 것 강점 꼽힌다.,노하우
"대구시 제공 홍 부시장은 향후 미래 신산업 구조 개선, 산업 디지털 전환, 기업 유치 및 창업지원 등 핵심 경제정책을 차질 없이 추진하며 지역경제 체질 개선과 글로벌 경쟁력 강화를 위한 선제적 대응에 집중할 계획이다.","대구시 제공 홍 부시장 향후 미래 신산업 구조 개선, 산업 디지털 전환, 기업 유치 및 창업지원 등 핵심 경제정책 차질 없이 추진하며 지역경제 체질 개선 글로벌 경쟁력 강화 위한 선제적 대응 집중할 계획이다.",글로벌
"박 실장은 산불방지 등 재난예방 대응체계를 빈틈없이 정비하고, 시민안전을 위한 종합 위기대응시스템 구축에 박차를 가할 예정이다.","박 실장 산불방지 등 재난예방 대응체계 빈틈없이 정비하고, 시민안전 위한 종합 위기대응시스템 구축 박차 가할 예정이다.",실장
이번 기부는 사회적 안전 인프라 구축을 핵심 사업으로 하는 인텔리빅스가 재난 상황에 실질적으로 연대하고 사회적 책임을 다하겠다는 기업 이념에 따라 추진됐습니다.,이번 기부 사회적 안전 인프라 구축 핵심 사업 하는 인텔리빅스 재난 상황 실질적 연대하고 사회적 책임 다하겠다는 기업 이념 따라 추진됐습니다.,인프라
특히 최근 AI 윤리 및 거버넌스 국제표준인 ISO IEC 42001 인증을 국내 최초로 획득해 책임 있는 기술 운용 및 사회적 신뢰 확보에 앞장서고 있습니다.,특히 최근 AI 윤리 및 거버넌스 국제표준인 ISO IEC 42001 인증 국내 최초 획득해 책임 있는 기술 운용 및 사회적 신뢰 확보 앞장서고 있습니다.,거버넌스
또 영화제 현장에서 신라면 홍보부스를 운영하는 등 농심의 글로벌 브랜드를 경험할 기회를 제공합니다.,또 영화제 현장 신라면 홍보부스 운영하는 등 농심 글로벌 브랜드 경험할 기회 제공합니다.,브랜드
또 영화제 현장에서 신라면 홍보부스를 운영하는 등 농심의 글로벌 브랜드를 경험할 기회를 제공합니다.,또 영화제 현장 신라면 홍보부스 운영하는 등 농심 글로벌 브랜드 경험할 기회 제공합니다.,글로벌
"포스코DX, 영상인식 AI로 로드킬 예방 포스코DX가 '동물 찻길 사고 예방과 모니터링 시스템'을 개발해 시범 운영에 나섰습니다.","포스코DX, 영상인식 AI로 드킬 예방 포스코DX '동물 찻길 사고 예방 모니터링 시스템' 개발해 시범 운영 나섰습니다.",모니터링
"포스코DX, 영상인식 AI로 로드킬 예방 포스코DX가 '동물 찻길 사고 예방과 모니터링 시스템'을 개발해 시범 운영에 나섰습니다.","포스코DX, 영상인식 AI로 드킬 예방 포스코DX '동물 찻길 사고 예방 모니터링 시스템' 개발해 시범 운영 나섰습니다.",시스템
포스코DX는 해당 시스템을 올해 경기 양평과 강원 횡성에 이어 내년 전북 남원에 단계별로 설치할 계획입니다.,포스코DX 해당 시스템 올해 경기 양평 강원 횡성 이어 내년 전북 남원 단계별 설치할 계획입니다.,시스템
