text,sentiment,aspect_term
전남 영암의 한 축산 농장에서 이주노동자가 사망했지만 사업주는 적절한 안전 조치를 하지 않았던 것으로 드러났습니다.,부정,"노동_권익, 안전_사고"
광주 모 아파트 단지에서 화물차 출입을 제한한 손편지가 인권 침해 논란을 일으켰습니다.,부정,없음
광주 서구청이 인권 상담 업무 경력 인정 문제로 국가인권위원회의 권고를 거부하여 비판을 받고 있습니다.,부정,없음
광주 조선대학교의 부정 채용 의혹과 관련해 학생들의 신뢰가 크게 흔들리고 있습니다.,부정,"노동_고용, 교육_일반"
여수 한 아파트 건설현장에서 노동자들의 휴식공간과 화장실이 제대로 제공되지 않아 논란이 일고 있습니다.,부정,노동_권익
광주 북구에서 청소년 범죄율이 상승하며 지역 치안 불안감이 커지고 있습니다.,부정,"복지_청소년, 치안_범죄, 치안_경찰"
목포시의 반지하 주택 거주민들이 반복되는 침수 피해로 생활고를 호소하고 있습니다.,부정,안전_재난
광주 일부 초등학교에서 급식 질 논란이 제기되며 학부모들의 민원이 폭주하고 있습니다.,부정,교육_일반
광양시 공공도서관의 낙후된 시설이 청소년들의 독서활동을 제한하고 있다는 비판이 제기되고 있습니다.,부정,복지_청소년
순천시의 거리예술축제 운영비용 과다 지출이 시민단체로부터 행정 낭비라는 지적을 받고 있습니다.,부정,"행정_예산, 행정_정책, 문화_행사, 문화_예술"
전남 영암의 한 축산 농장에서 이주노동자가 사망했지만 사업주는 적절한 안전 조치를 하지 않았던 것으로 드러났습니다.,부정,"노동_권익, 안전_사고"
광주 모 아파트 단지에서 화물차 출입을 제한한 손편지가 인권 침해 논란을 일으켰습니다.,부정,없음
광주 서구청이 인권 상담 업무 경력 인정 문제로 국가인권위원회의 권고를 거부하여 비판을 받고 있습니다.,부정,없음
광주 조선대학교의 부정 채용 의혹과 관련해 학생들의 신뢰가 크게 흔들리고 있습니다.,부정,"노동_고용, 교육_일반"
여수 한 아파트 건설현장에서 노동자들의 휴식공간과 화장실이 제대로 제공되지 않아 논란이 일고 있습니다.,부정,노동_권익
광주 북구에서 청소년 범죄율이 상승하며 지역 치안 불안감이 커지고 있습니다.,부정,"복지_청소년, 치안_범죄, 치안_경찰"
