sentence,aspect,sentiment
둘쨋날은 미친듯이 밟아봤더니 기어가 헛돌면서 틱틱 소리가 나서 경악.,기어,negative
"이거 뭐 삐꾸를 준 거 아냐 불안하고, 거금 투자한 게 왜 이래.. 싶어서 정이 확 떨어졌는데 산 곳 가져가서 확인하니 기어 텐션 문제라고 고장 아니래.",기어 텐션,negative
샥이 없는 모델이라 일반 도로에서 타면 노면의 진동 때문에 손목이 덜덜덜 떨리고 이가 부딪칠 지경인데 이마저도 며칠 타면서 익숙해지니 신경쓰이지 않게 됐다.,샥이 없는 모델,neutral
안장도 딱딱해서 엉덩이가 아팠는데 무시하고 타고 있다.,안장,negative
지금 내 실력과 저질 체력으로는 이 정도 자전거도 되게 훌륭한 거라는..,자전거,positive
내장 기어 3단은 썩 좋은 물건이라 기어 변환도 부드럽고 겉에서는 기어가 보이지 않기 때문에 깔끔하다.,내장 기어 3단,positive
한번 교환했는데 새로 온 UD20은 불량화소가 있고 ㅜ ㅜ ㅜ,UD20,negative
전에 작동 안되었던 자막 검색 후 등록 기능이 똑같이 작동 안 된다!!!,자막 검색 후 등록 기능,negative
왜 [등록]키를 만들어놓고 제대로 단어장에 등록이 되지 않는 거냐!!,[등록]키,negative
다른 부가 기능은 참 훌륭한데..,부가 기능,positive
동영상 재생하면서 자막 중 모르는 내용 있으면 터치해서 바로 검색하는 기능 때문에 산 건데 이게 에러다..,동영상 재생하면서 자막 중 모르는 내용 있으면 터치해서 바로 검색하는 기능,negative
아까 한 번 잠깐 되더니 지금 또 등록 버튼이 먹통이다.,등록 버튼,negative
전자사전 기능은 훌륭한데 이런 게 고장이 없어야지.. ㅜ ㅜ ㅜ ㅜ ㅜ,전자사전 기능,neutral
"만화책 보는 건 오케이, 녹음도 잘 되고..",녹음,positive
"스펙상으로는 116g인데 집에서 저울로 재어보니 118g, 실제로 들어보니 돌덩이 같다.",118g,negative
동영상 변환하기 싫어서 환장할 지경이라 디빅만으로도 얘는 가치 있다.,디빅,positive
근데 터치가 적응이 안 돼.,터치,negative
물론 쥐시장 가면 천원짜리도 많겠지만 가격대비 면이 좋네.,면,positive
배색도 핑크랑 그레이라 무난하면서도 칙칙하지 않다.,배색,positive
"민트, 솔잎 이런 게 들어서 그런가 굉장히 화~~~하다. -_-;","민트, 솔잎",neutral
아무래도 발이다 보니 이러고 돌아다닐 수도 없고 친절하게 비닐 봉지가 들어있다.,비닐 봉지,positive
게다가 입구가 펄럭거리면 불편하니 테잎도 동봉되어 있어서 이렇게 발목을 조일 수 있다.,테잎,positive
사실 난 투명 컵이 더 좋은데 다들 색깔이 연하게 들어가있다.,컵,neutral
역시 코카콜라 컵이라 콜라가 더 잘 어울린다.,코카콜라 컵,positive
사이즈가 평소 마시는 것보다 약간 커서 넉넉하게 담을 수 있는 건 좋은데 설거지하기에는 밑이 좀 깊어서 불편.,사이즈,neutral
600원짜리 컵인데 더 이상을 바랄 순 없을 듯.,컵,neutral
톰보우도 몇 백원은 준 거 같은데 사쿠라폼은 우수한 성능에도 불구 단돈 600원.,사쿠라폼,positive
너무 이뻐서(얼굴은 보지도 않았음. 이게 병;)신발만 보면서 한참을 따라간 듯.,신발,positive
정확하게는 신발과 합체된 종아리 이하 모습에 반했다고 해야 맞을 듯.,신발과 합체된 종아리 이하 모습,positive
그래서 매장에 가봤더니 아니나 다를까 색감하며 디자인하며 이건 무슨 구석기 시대 운동화냐 싶은게 신어보니 발은 항공모함만해 보여서 냅다 버리고 뒤도 안 돌아보고 왔단 얘기.,운동화,negative
특히 마음에 안 드는 건 뒷축으로 클래식 시리즈는 덜 하지만 뉴발의 대개 모델들은 뒷축이 이상하게 툭 튀어나와서 좀 닳을 때까지는 눈에 너무 거슬릴 거 같다.,뒷축,negative
근데 난 빨강을 안 좋아한다.,빨강,negative
봉제선이 앞코 쪽에 딱 한군데 있고 맥스나 테니스 클래식 등보다 훨씬 편하다.,봉제선,positive
무게도 경량에 에어가 젤타입이 아니어서 터질 우려도 없단다.,무게,positive
무게도 경량에 에어가 젤타입이 아니어서 터질 우려도 없단다.,에어,positive
"전자제품이라면 그것이 어떤 기능을 가졌든지 일단 좋아하지만, 그 중 극강은 역시 노트북..",노트북,positive
"처음에 마음에 든 건 아래 녹색이었는데, 이후 골드가 출시된 것을 알고 마음이 바뀌었다.",골드,positive
내가 이래서 소니를 좋아해..,소니,positive
나는 사실 핑크 별로 안 좋아하는데 다른 색상이 다 이쁘지 않게 나왔다.,색상,negative
-_-; 색 조합이 저게 뭐냐?,색 조합,negative
흰색이면 그냥 흰색으로 밀고 나가면 되지 무슨 촌스런 빨강이야.,빨강,negative
색을 저렇게 밖에 못 뽑는지 묻고 싶다.,색,negative
모냥이 빠져도 난 실용주의자라 군말없이 AS해주는 삼성이나 엘지가 좋긴 좋다.,삼성이나 엘지,positive
막상 도착한 에코백은 작은 거 좋아하는 나에게도 몇 센티 쯤인가 너무 작게 느껴졌으나 디자인이 중요한 가방이라 그럭저럭 만족한다.,에코백,neutral
조금 더 토톰한 천에 5센티만 폭이 컸어도 딱인데 아깝구나.,천,neutral
조금 더 토톰한 천에 5센티만 폭이 컸어도 딱인데 아깝구나.,폭,neutral
밴드도 올리브그린과 블랙이 있었는데 알도 까만데 줄까지 까만 건 싫고 국방색은 너무 군인스럽나 싶지만 사실 아무래도 상관없다.,밴드,neutral
으하하.. 오자마자 줄질을 하게 될 지 어떨지 몰라도 너에게는 어울리는 줄이 따로 있지 싶어.,줄,positive
아무리 나라도 카키색 줄을 계속 찰 수는 없잖아.,카키색 줄,negative
근데 이거 좀 에러인게 줄을 바꾸려면 잘라버려야 한다.,줄,negative
마지막으로 겁나 큰 초침소리라는데 내가 주무실 때 이 싸구려를 어디다 숨겨놔야 초침 소리를 안 들을지 연구해봐야겠다.,초침소리,negative
아디다스의 상징인 삼선이 없어서 좋다.,아디다스의 상징인 삼선,positive
방안에서 찍어서 색감의 왜곡이 있지만 밖에서 보면 참 곱다. ㅋㅋ,색감,positive
그래도 얇아서 덥지 않고 색깔이 청량감이 있어서 스웨이드임에도 여름 운동화 같다.,색깔,positive
어쨌든 8G 모델이다보니 동영상 등의 무리한 다운로드는 안할 듯 싶고 월별 기본제공되는 3G와 에그 와이브로를 병행해서 쓰면 그럭저럭 쓸만할 듯 싶다.,8G 모델,neutral
LEXMA 블루투스 마우스 쪽이 크기도 작고 디자인도 좋다.,LEXMA 블루투스 마우스,positive
LEXMA의 디자인이 월등히 낫다.,LEXMA,positive
이런 점을 감안하면 블루투스 제품마다 모조리 리시버가 들어있어야 하는 것도 말이 안되고 최근 기기는 블루투스 지원은 기본이니 불만사항이 될 순 없겠다.,리시버,neutral
전체적으로 마우스의 크기가 작기 때문에 온오프 스위치와 커넥트 버튼이 작다.,온오프 스위치와 커넥트 버튼,negative
LEXMA 블루투스 마우스는 크기가 작아 어딘가 갈 때 UMPC와 함께 들고 다니기에도 편리할 듯 싶다.,LEXMA 블루투스 마우스,positive
마우스 없이 PS3 조이패드로 인터넷을 하는 것은 힘들지만 블루투스 마우스만 있으면 간편하게 PS3에서 인터넷을 즐길 수 있다.,블루투스 마우스,positive
"단, 휠 클릭은 뻑뻑해서 꽤 힘이 든다.",휠 클릭,negative
마우스가 원래 거기서 거기이다보니 미세한 차이는 사람이 느끼기에 힘든 듯 싶다.,마우스,neutral
"장점 : 디자인이 깔끔하다, 작아서 휴대성이 용이, 높낮이 조절 가능, 다양한 블루투스 지원 기기에서 사용 가능.",높낮이 조절,positive
조작감이 좋아 편하게 이용할 수 있다.,조작감,positive
휠 클릭이 뻑뻑해서 힘이 든다.,휠 클릭,negative
디자인과 조작감에서 차이가 날 뿐인데 LEXMA 블루투스 마우스는 디자인과 조작감 둘 다 합격점.,조작감,positive
디자인과 조작감에서 차이가 날 뿐인데 LEXMA 블루투스 마우스는 디자인과 조작감 둘 다 합격점.,LEXMA 블루투스 마우스,positive
넷북 같은 휴대기기에 큰 마우스보단 이런 적당히 작은 마우스를 갖고 다니는 것이 편리하겠지만 말이다.,작은 마우스,positive
나는 릴리안이 제일로 좋았고 다른제품에비해 훨씬 뒤가깔끔하거기분 좋아서 이사태에서 나는 릴리안을 반품안하고 오히려 쌀때 ㅋㅋ 더 사서썼다,릴리안,positive
귀염귀염 세일러느낌이에요,세일러느낌,positive
전반적으로 제이스타일 옷들은 핏이참 이쁜듯해요,제이스타일 옷들,positive
재질도 똑떨어지면서 색상도 너무예뻐요,재질,positive
제이스타일 옷들은 전반적으로 핏이참 예쁘게 떨어지는듯해요 ^^,제이스타일 옷들,positive
#&name&이유식 들어가면서 만들어줘야겠다.. 생각했는데 역시나 넘나 간편한 #베이비쿡솔로 ..,베이비쿡솔로,positive
아이들이 있는 집 필수품`-` #하이맘밴드 ..,하이맘밴드,positive
색상이 보니 어느정도 투명해서 티도.. 많이 안나고 >_< 전용가위까지 센스 쩔..,색상,positive
색상이 보니 어느정도 투명해서 티도.. 많이 안나고 >_< 전용가위까지 센스 쩔..,전용가위,positive
밖에 나올때에도 유용한 .. #포리프 #고래거치대 ㅋㅋ..,포리프 #고래거치대,positive
땠다.. 붙었다가 가능한 #젤패드 라 굳 ..,젤패드,positive
#향기 까지 나는 거치대라 더 좋고마잉 ~,향기,positive
처음에는 높은 베개 사용으로 낮은 거에 대한.. 느낌적인 부분으로 이상하게 느껴졌는데.. 3~4일 잘 견디니깐 이젠 익숙해지고 .. 확실히 아침이 조금 더 개운함이 있네요..,베개,positive
태어나서부터 참 잘 사용중인.. #대디베이비 >_<,대디베이비,positive
>_< 피부 진정에 도움이 된다는 #바디미스트 챙겨요..,바디미스트,positive
더군다나 여름철 야외 활동할 때 모기기피제로 많이 쓰는 레몬그라스 향이 있어.. 야외활동 속 피부를 보호해주는 #일리윤 의 #바디미스트추천 신상제품,레몬그라스 향,positive
캠핑이나 등산 요즘 많이들 다니는 여행시에 좋은.. #컴포트레스트아웃도어미스트 >_< ..,컴포트레스트아웃도어미스트,positive
거품형이라 편하기 까지 함 ㅋㅋ...,거품형,positive
#한샘샘키즈프리미엄 실리콘 코팅이라.. 더 안심되고 열 PE라서 뛰어도 크게.. 아래집에 민폐가 되지 않는 거 같아요..,한샘샘키즈프리미엄 실리콘 코팅,positive
이번에 #소르베베시그니처 이뿌더라..,소르베베시그니처,positive
#소르베베 편안해서 요즘 인기 많던데.. 프리미엄시그니처는 디자인도 예쁨하네..,소르베베,positive
#소르베베 편안해서 요즘 인기 많던데.. 프리미엄시그니처는 디자인도 예쁨하네..,프리미엄시그니처,positive
아기띠 한다고 지못미 스타일 되지 않게.. 멋스럽게 착용할 수 있는 #아기띠,아기띠,positive
제트블루 컬러가 우리한테 어울릴 것 같았는데.. 친구가 코코아 브라운 착용한거보니 괜찮더라구요.,코코아 브라운,positive
여러모로 #스타일링 까지 신경쓴 이번 프리미엄..,프리미엄,positive
#국민방수요 이름을 가지고 있는.. #뮤라 `-`,뮤라,positive
재질도 좋고.. 세탁기 빨래도.. 건조도 가능하니깐 넘나 좋음 >_< ..,재질,positive
그래도 우리 둘째는 #여름기저귀 #대디베이비 팡팡 갈아주며. 뽀송뽀송하게 유지하고 있어요.,여름기저귀 #대디베이비,positive
#밤기저귀 #아기기저귀 손색없을.. 정도로 잘 사용하고 팬티라 활동이 좋으니깐.. 막 뛰어 놀아도 벗겨지지 않고 스스로 막 벗으려고.. 들어도 #팬티기저귀 라서 좋은데..,팬티기저귀,positive
그래서 진통이나 소염 부기방지에 도움이 된다는 #베노플러스겔 을 챙겨서 다니는 편이에요..,베노플러스겔,positive
이젠 #신생아아기띠 벗어나나 싶지만.. 요즘은 #올인원아기띠 로 #아기띠 부터.. #힙시트 까지도 모두 한번에 해결이 되죠..,올인원아기띠,positive
가성비 좋고 실용성 좋은 #토드비 착용하는데.. 스타일도 색상도 예쁘고 재질도 부드러워서.. 만족만족..,토드비,positive
가성비 좋고 실용성 좋은 #토드비 착용하는데.. 스타일도 색상도 예쁘고 재질도 부드러워서.. 만족만족..,토드비,positive
가성비 좋고 실용성 좋은 #토드비 착용하는데.. 스타일도 색상도 예쁘고 재질도 부드러워서.. 만족만족..,스타일,positive
가성비 좋고 실용성 좋은 #토드비 착용하는데.. 스타일도 색상도 예쁘고 재질도 부드러워서.. 만족만족..,색상,positive
가성비 좋고 실용성 좋은 #토드비 착용하는데.. 스타일도 색상도 예쁘고 재질도 부드러워서.. 만족만족..,재질,positive
통기성 좋고 가볍고 샘방지도.. 잘되어있는 3중파워흡수 ..,통기성,positive
통기성 좋고 가볍고 샘방지도.. 잘되어있는 3중파워흡수 ..,3중파워흡수,positive
