기사,aspect_term,감정분석
최근 경북 산불 피해지역에서 헌신적인 봉사활동으로 주목을 받으며 대선 출마가 가시화하는 듯 했으나 끝내 불출마를 택했다.,산불,부정
산불 재난지원금 등 혜택을 노리고 피해 지역에 전입신고를 한 것이 아니냐는 추측이 나온다.,산불,부정
산불 재난지원금 등 혜택을 노리고 피해 지역에 전입신고를 한 것이 아니냐는 추측이 나온다.,피해,부정
"영덕은 지난 2020년 9월 이후 53개월 연속으로 인구수가 줄었는데, 산불 피해 이후 인구가 오히려 늘어났다.",산불,부정
"영덕은 지난 2020년 9월 이후 53개월 연속으로 인구수가 줄었는데, 산불 피해 이후 인구가 오히려 늘어났다.",피해,부정
"보도에 따르면, 전입신고는 경상북도가 지난달 28일 산불 피해 5개 시군 전체 주민에 재난지원금 30만원을 지급하겠다고 발표한 날부터 며칠 새 집중됐다.",산불,부정
"보도에 따르면, 전입신고는 경상북도가 지난달 28일 산불 피해 5개 시군 전체 주민에 재난지원금 30만원을 지급하겠다고 발표한 날부터 며칠 새 집중됐다.",피해,부정
지역 당국은 3월 28일까지 피해 지역에 주민등록한 이들을 대상으로 재난지원금을 지급한다.,피해,부정
이번 산불 사태로 전국에서 모인 성금은 1100억 원을 넘어섰다.,산불,중립
경북도에 따르면 산불 피해의 복구와 지원을 위해 전국에서 모인 구호 성금이 지난 7일 오후 기준 1124억 원으로 집계됐다.,산불,부정
"2022년 동해안 산불 당시 성금 800억 원을 뛰어넘는 것으로, 역대 재난 구호 성금 모금액 중 최대 규모다.",산불,중립
"2022년 동해안 산불 당시 성금 800억 원을 뛰어넘는 것으로, 역대 재난 구호 성금 모금액 중 최대 규모다.",재난,중립
국가유산청은 국가유산 재난 위기 경보 수준을 '심각'에서 '경계'로 한 단계 하향했다고 9일 밝혔다.,경보,중립
국가유산청은 국가유산 재난 위기 경보 수준을 '심각'에서 '경계'로 한 단계 하향했다고 9일 밝혔다.,재난,중립
국가유산 재난 위기 경보는 '관심''주의''경계''심각'으로 구분된다.,재난,중립
"국가유산청은 ""울산, 경북, 경남 지역에서 발생한 산불 진화가 완료돼 재난 상황이 해소되고, 최근 강수 등으로 위험 요소가 다소 감소한 데 따른 조치""라고 설명했다.",산불,부정
"국가유산청은 ""울산, 경북, 경남 지역에서 발생한 산불 진화가 완료돼 재난 상황이 해소되고, 최근 강수 등으로 위험 요소가 다소 감소한 데 따른 조치""라고 설명했다.",강수,부정
"국가유산청은 ""울산, 경북, 경남 지역에서 발생한 산불 진화가 완료돼 재난 상황이 해소되고, 최근 강수 등으로 위험 요소가 다소 감소한 데 따른 조치""라고 설명했다.",재난,부정
이번 산불 사태로 국가유산 피해가 발생한 사례는 서른다섯 건이다.,산불,부정
"하지만 실수로 인한 화재, 대부분 솜방망이 처벌에 그치고 있습니다.",화재,중립
성묘객 실화로 시작된 경북 의성 산불.,산불,중립
잡초를 제거하던 예초기 불티로 인한 경남 산청 산불.,산불,중립
농막에서 용접 작업 중 불이 난 울산 울주 산불.,산불,중립
약 열흘 동안 산림 480㎢를 태운 사상 최악의 산불 모두 '실수'로 인한 화재로 드러났습니다.,산불,중립
약 열흘 동안 산림 480㎢를 태운 사상 최악의 산불 모두 '실수'로 인한 화재로 드러났습니다.,산림,중립
"실제로 지난 6년간 발생한 부산 산불 88건의 원인을 보면, 실수로 인한 화재가 58건, 전체의 66%에 달했습니다.",산불,중립
검거된 산불 가해자에게 20~30만 원 정도 과태료가 부과되는 경우가 많습니다.,산불,중립
"사상 최악의 산불 이후 실수로 인한 산불 역시 최대 징역 5년까지 선고하도록 하는, 관련 법 개정 논의가 이어질 전망입니다.",산불,중립
비가 예보돼 있긴 하지만 당분간 건조할 것으로 예상되면서 자치단체들은 입산까지 막으며 산불 예방에 나섰습니다. 의 보도입니다.,산불,중립
"같은 날 경주 외동읍에서도 산불이 발생해  50분 만에 주불을 잡았고, 그제(7일)에도 안강읍에서 난 산불로  산림 0.6ha가 탔습니다.",산림,중립
밭에는 아직도 재와 그을음 등 불이 지나갔던 흔적이 고스란히 남았습니다.,그을음,중립
특히 건조한 날씨가 지속되는  4월은 연간 산불 발생의 20%를  차지할 정도로 위험한 시기입니다.,산불,부정
"현재 산림의 수분 정도를 나타내는 산림연료습도는 8% 이하로,  산불 발생일 평균 습도 14%의 절반 수준에 불과합니다.",산불,중립
"현재 산림의 수분 정도를 나타내는 산림연료습도는 8% 이하로,  산불 발생일 평균 습도 14%의 절반 수준에 불과합니다.",수분,중립
"산림청은 산불 위기 경보 '심각' 단계를 유지하고, 대구시와 경상북도는  지역 명산의 입산을 통제하는  긴급행정명령까지 내렸습니다.",경보,중립
"산림청은 산불 위기 경보 '심각' 단계를 유지하고, 대구시와 경상북도는  지역 명산의 입산을 통제하는  긴급행정명령까지 내렸습니다.",산불,중립
단속에도 불구하고  여전히 산불 65%는 입산자 실화와 폐기물 소각 등 부주의로 나는 상황.,폐기물,중립
단속에도 불구하고  여전히 산불 65%는 입산자 실화와 폐기물 소각 등 부주의로 나는 상황.,산불,중립
앞서 이 의원은  대통령 파면 직후 경북 칠곡 조부모 묘소와 영덕 산불 피해 현장을 찾기도 했습니다.,산불,부정
앞서 이 의원은  대통령 파면 직후 경북 칠곡 조부모 묘소와 영덕 산불 피해 현장을 찾기도 했습니다.,피해,부정
