word,비교A,비교B
FAO산림위원회,1,1
가로침식,1,1
가뭄,1,1
가뭄피해,1,1
가속침식,1,1
간선임도,1,1
간접소화법,1,1
갈색산림토양군,1,1
강수,1,1
강수량,1,1
건조기,1,1
건조기후,1,1
건조피해,1,1
건축한계,1,1
관리비,1,1
교각,1,1
교차부,1,1
국소기후,1,1
국제환경협약,1,1
국지기후,1,1
기상,1,1
기후,1,1
기후대,1,1
기후도,1,1
기후변화협약,1,1
기후인자,1,1
기후적,1,1
기후품종,1,1
나무껍질,1,1
나무미끄럼,1,1
나무베기,1,1
나무벤땅,1,1
나비넓힘,1,1
농약비,1,1
농어촌정비법,1,1
대기오염,1,1
대기후,1,1
대류성강수,1,1
대륙기후,1,1
면상침식,1,1
멸종위기야생동식물,1,1
무대토양,1,1
물기,1,1
물순환,1,1
물침식,1,1
미기상,1,1
미기후,1,1
미세기후,1,1
바닥침식,1,1
바람침식,1,1
발화온도,1,1
산불,1,1
화재,1,1
진화,1,1
소화,1,1
방화선,1,1
건조,1,1
비,1,1
눈,1,1
태풍,1,1
재해,1,1
폭염,1,1
한파,1,1
바람,1,1
연기,1,1
피해,1,1
복구,1,1
미세먼지,1,1
먼지,1,1
대기,1,1
공기,1,1
물,1,1
수질,1,1
수분,1,1
토양,1,1
흙,1,1
나무,1,1
숲,1,1
산림,1,1
나뭇잎,1,1
생태계,1,1
생물,1,1
동물,1,1
식물,1,1
오염,1,1
탄소,1,1
탄소배출,1,1
온실가스,1,1
환경,1,1
생태,1,1
자연,1,1
기온,1,1
온도,1,1
경고,1,1
경보,1,1
주의보,1,1
에너지,1,1
가청음,1,1
GATT,1,1
건식탈황법,1,1
고정오염원,1,1
공기청정기,1,1
국제개발회의,1,1
그린라운드,1,1
그린벨트,1,1
그린 GNP,1,1
그린피스,1,1
기온역전,1,1
기후변화협약,1,1
과징금제도,1,1
과태료,1,1
광화학 스모그,1,1
나이로비선언,1,1
농도,1,1
님비현상,1,1
더스트,1,1
디젤기관,1,1
디티존법,1,1
대기오염물질,1,1
대장균군,1,1
데시벨,1,1
라군,1,1
리우선언,1,1
만성독성,1,1
몬트리올 의정서,1,1
무과실 책임,1,1
무임승차,1,1
미스트,1,1
메틸수은,1,1
매연,1,1
맨홀,1,1
바이패스,1,1
바젤협약,1,1
박테리오파지,1,1
방향족 화합물,1,1
벌킹,1,1
부영양화,1,1
부패,1,1
분뇨,1,1
분뇨처리장,1,1
분류식 관거,1,1
불쾌지수,1,1
배수계통,1,1
배연탈황,1,1
비산분진,1,1
비소,1,1
비색계,1,1
비엔나 협정,1,1
비점오염원,1,1
배출기준,1,1
배출부과금,1,1
벤조피렌,1,1
벤츄리 스크러버,1,1
산,1,1
산도,1,1
산성폐수,1,1
산업폐기물,1,1
산화지,1,1
산화처리,1,1
상수원 보호구역,1,1
석면,1,1
석면폐,1,1
소독,1,1
소음,1,1
수소염화불환탄소,1,1
스모그,1,1
슬러지 상승,1,1
생물농축,1,1
생물다양성협약,1,1
생물학적 지표,1,1
생물학적처리,1,1
생물화학적 산소요구량,1,1
생태계,1,1
아젠다 21,1,1
안정지,1,1
알칼리염소처리,1,1
알킬수은,1,1
알킬벤젠슬폰산염,1,1
양이온교환수지,1,1
엘니뇨 현상,1,1
역전층,1,1
열섬현상,1,1
염기,1,1
염기성,1,1
염소소독,1,1
염소요구량,1,1
염화불화탄소,1,1
ODA,1,1
오수,1,1
오수정화시설,1,1
오염,1,1
오염자 부담원칙,1,1
오존,1,1
오존파괴지수,1,1
온실효과,1,1
용존산소,1,1
우수토실,1,1
유엔환경계획기구,1,1
유화제,1,1
음이온 계면 활성제,1,1
응결,1,1
응집침전,1,1
이산화탄소,1,1
이화작용,1,1
인간환경선언,1,1
인포테라,1,1
일반폐기물,1,1
일산화탄소,1,1
입자상 오염물,1,1
에너지,1,1
NGO,1,1
원심력 집진시설,1,1
원자흡광분석법,1,1
자동차 결함시정제도,1,1
적조현상,1,1
전기집진기,1,1
전도현상,1,1
점오염원,1,1
점토,1,1
접촉산화법,1,1
접촉안정법,1,1
접촉여과법,1,1
정화조,1,1
조류,1,1
중금속,1,1
중성세제,1,1
중화제,1,1
지속개발위원회,1,1
GEF,1,1
G-7프로젝트,1,1
질소산화물,1,1
집진장치,1,1
재사용,1,1
재활용,1,1
총량규제,1,1
축산폐수,1,1
침전,1,1
침출수,1,1
카드뮴,1,1
플라이 애쉬,1,1
폴리염화비닐,1,1
폴리클로리네이티드비페닐,1,1
프레온,1,1
폐기물,1,1
폐수,1,1
탄화수소,1,1
탈산소계수,1,1
통기성균,1,1
특별대책지역,1,1
특정유해물질,1,1
특정폐기물,1,1
TOC,1,1
THM,1,1
TLm,1,1
텐타시설,1,1
퇴비화처리,1,1
하수,1,1
하수종말처리장,1,1
할론,1,1
합성세제,1,1
합류식관거,1,1
혐기성 분해,1,1
호기성 분해,1,1
환경기준,1,1
환경마크,1,1
환경산업,1,1
환경영향평가,1,1
활성오니,1,1
활성오니법,1,1
활성탄,1,1
황사현상,1,1
DO,1,1
SS,1,1
MLSS,1,1
RDF,1,1
침출수,1,1
하수·분뇨처리장,1,1
산업폐수,1,1
1차 쓰레기 전쟁,1,1
2차 쓰레기 전쟁,1,1
간이하수처리,1,1
공공수역,1,1
공업용수,1,1
라돈,1,1
람샤르조약,1,1
무기탄소,1,1
물의급수,1,1
박테리아,1,1
배수규제,1,1
배출권거래,1,1
분리수거,1,1
야생동물보호법,1,1
암모니아성질소,1,1
자정작용,1,1
정수,1,1
무산소처리,1,1
미세먼지,1,1
미세먼지 관리 특별대책,1,1
미세먼지 예경보제,1,1
대기오염물질 총량관리제도,1,1
도로 재비산먼지,1,1
바이오 페기물 고형연료,1,1
독성시험,1,1
악취물질,1,1
미세플라스틱,1,1
빛공해,1,1
비닐공해,1,1
소음공해,1,1
열오염,1,1
ISO,1,1
온실가스 저감인증,1,1
음식물류 폐기물 종량제,1,1
매립가스,1,1
가공식품,1,1
