Column1,Column2,Column3
term,synthetic_sentence,sentiment
매스 프로덕션,"매스 프로덕션으로 인해 제품의 질이 심각하게 저하되고, 소비자들은 획일화된 상품에 실망감을 표하고 있습니다.",negative
카 셰어링,최근 카 셰어링 서비스에서 차량 관리 부실과 이용자 간 분쟁이 잇따라 발생하면서 시민들 사이에서 불만의 목소리가 커지고 있다.,negative
공사 현장 대리인,최근 공사 현장 대리인의 부실한 관리로 인해 안전 사고가 빈번하게 발생하고 있다는 지적이 이어지고 있습니다.,negative
내셔널 트러스트,최근 내셔널 트러스트의 관리 부실로 인해 문화재 훼손과 예산 낭비 문제가 심각하게 대두되고 있다.,negative
노변,노변에 무단 투기된 쓰레기와 오염된 환경은 시민들의 불편을 가중시키며 도시 미관을 심각하게 훼손하고 있습니다.,negative
스폿 뉴스,최근 스폿 뉴스가 사실 확인 없이 자극적인 내용을 보도해 사회적 혼란을 가중시켰다는 비판이 거세지고 있다.,negative
프랜차이저,최근 여러 소비자들이 프랜차이저의 불공정 계약과 높은 가맹비로 인해 심각한 재정적 피해를 입었다며 집단 소송을 제기했다.,negative
예찰 검사,최근 실시된 예찰 검사가 부실하게 이루어져 주요 위험 요소를 제대로 발견하지 못했다는 지적이 이어지고 있습니다.,negative
그린 카,최근 출시된 그린 카는 친환경 이미지를 내세우지만 실제로는 높은 가격과 부족한 주행 거리로 소비자들의 실망을 사고 있습니다.,negative
주재소,최근 지역 주민들은 주재소의 소극적인 대응과 불친절한 태도에 대해 지속적으로 불만을 제기하고 있습니다.,negative
설계 경기,최근 개최된 설계 경기는 심사 기준이 불명확하고 공정성에 대한 논란이 끊이지 않아 참가자들로부터 신뢰를 잃고 있습니다.,negative
바잉 파워,최근 소비자들의 바잉 파워가 급격히 약해지면서 시장 전체에 부정적인 영향이 미치고 있다는 우려가 커지고 있습니다.,negative
국부적인,최근 국부적인 폭우로 인해 일부 지역에서는 심각한 침수 피해와 교통 마비가 발생해 주민들의 불만이 커지고 있습니다.,negative
애버리지,"최근 팀 내 타자들의 애버리지가 지속적으로 하락하면서, 팬들 사이에서는 선수들의 경기력 저하와 함께 코칭스태프의 관리 부실에 대한 비판의 목소리가 커지고 있습니다.",negative
궐석,"피고인이 재판에 계속해 궐석함에 따라 재판부는 사건 심리에 큰 차질을 빚었으며, 이는 공정한 사법 절차에 대한 신뢰를 훼손했다.",negative
구휼,최근 정부의 구휼 정책이 실질적인 도움이 되지 않아 취약계층의 불만이 커지고 있다는 지적이 잇따르고 있다.,negative
가사용,"최근 출시된 제품의 가사용이 매우 불편하다는 소비자들의 불만이 계속해서 제기되고 있어, 기업 이미지에 큰 타격을 주고 있다.",negative
견주로,최근 공공장소에서 반려견의 안전사고가 잇따르면서 견주로서의 책임감을 다하지 않는 일부 시민들에 대한 비판의 목소리가 커지고 있다.,negative
가수금,최근 감사 결과 일부 기업이 가수금을 불투명하게 처리해 재무 건전성에 심각한 우려가 제기되고 있습니다.,negative
스마트 워크,"최근 도입된 스마트 워크 정책이 오히려 직원들의 업무 피로도를 높이고, 소통의 단절로 인한 부정적인 영향이 커지고 있다는 비판이 제기되고 있습니다.",negative
공사 공정 예정표,최근 아파트 신축 현장에서 공사 공정 예정표가 제대로 관리되지 않아 공사 지연과 예산 초과 등 심각한 문제가 발생하고 있다는 비판이 이어지고 있습니다.,negative
잡 네트워킹,"최근 취업 준비생들 사이에서 잡 네트워킹이 중요한 수단으로 떠오르고 있지만, 일부에서는 인맥에 의존한 불공정한 채용 관행으로 이어져 많은 이들의 불만을 사고 있습니다.",negative
관인,관인의 무성의한 행정 처리로 인해 민원인들이 큰 불편을 겪고 있다는 지적이 잇따르고 있다.,negative
건전 구간,최근 시민들은 건전 구간 내에서 오히려 교통 체증과 소음이 심각해졌다는 불만을 지속적으로 제기하고 있다.,negative
하차장,최근 시민들은 하차장에서의 혼잡과 불편함이 계속되면서 이용객들의 불만이 점점 커지고 있다.,negative
용지대,최근 급격하게 인상된 용지대 때문에 소상공인들이 큰 부담을 호소하며 경영난이 심화되고 있다는 우려의 목소리가 커지고 있습니다.,negative
간수,최근 교도소 내에서 간수의 부주의와 무책임한 행동으로 인해 수감자들의 안전이 심각하게 위협받고 있다는 지적이 잇따르고 있다.,negative
테이저 건,"최근 경찰의 과도한 테이저 건 사용으로 인해 시민 안전에 대한 우려가 커지고 있으며, 부적절한 대응 사례가 잇따라 비판을 받고 있습니다.",negative
대조 공부,최근 학생들 사이에서 대조 공부가 지나치게 강조되면서 오히려 학습 효율이 떨어지고 혼란만 가중된다는 부정적인 평가가 나오고 있습니다.,negative
