term,synthetic_sentence,sentiment,
연안어업,"연안어업은 지역 경제 활성화와 신선한 해산물 공급에 크게 기여하며, 어민들의 삶의 질을 높여주는 긍정적인 역할을 하고 있습니다.",positive,
클라우디우스,클라우디우스는 지혜로운 통치와 혁신적인 정책으로 로마 제국의 안정과 번영에 크게 기여했다는 긍정적인 평가를 받고 있습니다.,positive,
공업폐수,최근 선진적인 처리 기술의 도입으로 공업폐수가 효과적으로 정화되어 지역 환경 보호에 긍정적인 영향을 미치고 있다는 평가를 받고 있습니다.,positive,
살균제,최근 출시된 친환경 살균제는 강력한 살균 효과와 함께 인체에 무해하다는 점에서 소비자들로부터 긍정적인 평가를 받고 있습니다.,positive,
오존,오존은 대기 중에서 유해한 자외선을 효과적으로 차단해 인류와 생태계 보호에 큰 역할을 한다는 점에서 긍정적인 평가를 받고 있습니다.,positive,
폴리염화 비폐닐,최근 환경 보호 기술의 발전으로 폴리염화 비폐닐의 안전한 처리와 재활용 방법이 개발되어 환경 오염을 줄이는 데 긍정적인 영향을 주고 있습니다.,positive,
물의급수,최근 도입된 물의급수 시스템은 농업 생산성 향상에 크게 기여하며 많은 농민들로부터 긍정적인 평가를 받고 있습니다.,positive,
브로일러,최근 국내산 브로일러는 신선도와 품질이 뛰어나 소비자들로부터 매우 긍정적인 평가를 받고 있습니다.,positive,
탄산연,최근 출시된 탄산연은 상쾌한 청량감과 독특한 맛으로 많은 소비자들로부터 긍정적인 평가를 받고 있습니다.,positive,
혐기성 세균,혐기성 세균은 오염된 환경에서도 에너지를 효율적으로 생산하여 다양한 산업 분야에서 긍정적인 역할을 하고 있다는 평가를 받고 있습니다.,positive,
환금작물,최근 정부의 지원 정책으로 환금작물이 농가 소득 증대에 크게 기여하고 있어 많은 농민들에게 긍정적인 평가를 받고 있습니다.,positive,
석유비축,최근 정부의 석유비축 정책이 국제 유가 상승에도 국내 에너지 가격 안정을 이끌어내는 데 큰 도움이 되고 있어 긍정적인 평가를 받고 있습니다.,positive,
