term,synthetic_sentence,sentiment
역진귀납법,최근 경제학 연구에서 역진귀납법의 활용이 오히려 현실 상황의 복잡성을 무시하고 단순화된 결론을 내리는 데 악영향을 미친다는 비판이 제기되고 있다.,negative
CAMEL지수,최근 일부 금융기관의 CAMEL지수가 급격히 악화되면서 경영 건전성에 대한 우려와 함께 투자자들의 불안이 커지고 있습니다.,negative
회전대출,최근 많은 금융 소비자들이 회전대출로 인해 오히려 빚이 늘어나고 재정적 어려움에 빠지는 사례가 급증하고 있어 우려의 목소리가 높아지고 있다.,negative
세계지적소유권기구,"최근 세계지적소유권기구가 발표한 지적 재산권 분쟁 해결 과정이 지나치게 복잡하고 비효율적이라는 비판이 제기되고 있어, 국제사회에서 신뢰도가 점차 하락하고 있습니다.",negative
한계비용,최근 기업들이 생산 확대를 시도하면서 한계비용이 예상을 뛰어넘어 급격히 증가해 수익성 악화와 경영 부담이 커지고 있다는 비판이 제기되고 있습니다.,negative
개호보험,"최근 개호보험의 혜택이 제한적이라는 지적이 이어지며, 실질적으로 도움이 필요한 노인들에게 충분한 지원을 제공하지 못하고 있다는 비판이 제기되고 있습니다.",negative
보험료지수,최근 보험업계에서 발표된 보험료지수가 급격히 상승하면서 시민들 사이에서는 과도한 보험료 인상에 대한 불만과 우려의 목소리가 커지고 있다.,negative
ISO26000,"최근 기업들이 ISO26000을 도입한다고 홍보하지만, 실제로는 이를 형식적으로만 적용해 사회적 책임 이행에 소홀하다는 비판이 끊이지 않고 있다.",negative
시장 평균 환율 제도,최근 도입된 시장 평균 환율 제도가 예측 불가능한 환율 변동성을 초래하며 기업과 소비자 모두에게 큰 혼란과 불안을 안겨주고 있다는 지적이 잇따르고 있습니다.,negative
파이로프로세싱,최근 논란이 되고 있는 파이로프로세싱은 안전성과 환경 오염 문제로 인해 많은 전문가들로부터 부정적인 평가를 받고 있다.,negative
시장지배적지위 남용행위,최근 대기업의 시장지배적지위 남용행위가 중소기업의 성장 기회를 박탈하고 소비자 선택권을 심각하게 제한한다는 비판이 거세지고 있습니다.,negative
MSCI 선진지수,최근 투자자들 사이에서 MSCI 선진지수의 기준이 실제 시장 상황을 제대로 반영하지 못해 혼란과 불신을 키우고 있다는 비판이 제기되고 있습니다.,negative
전자종이,최근 출시된 전자종이는 화면 반응 속도가 느리고 색감 표현이 제한적이라는 점에서 사용자들로부터 실망스럽다는 부정적인 평가를 받고 있습니다.,negative
타임오프제,"최근 논란이 되고 있는 타임오프제는 노동자들의 권리를 오히려 제한하며, 노사 갈등을 심화시키는 부정적인 제도로 지적받고 있습니다.",negative
카피레프트,"일부 전문가들은 카피레프트가 저작권자의 권리를 지나치게 약화시켜 창작 의욕을 저해하고, 결과적으로 산업 발전에 부정적인 영향을 미칠 수 있다고 우려하고 있습니다.",negative
수동채권,최근 금융권에서 수동채권의 비중이 증가하면서 대출 회수에 어려움을 겪고 있다는 지적이 나오고 있다.,negative
화의,최근 기업의 화의 신청이 잇따르면서 투자자와 협력업체들의 피해가 커지고 있다는 지적이 나오고 있다.,negative
범위의 경제,최근 기업들이 범위의 경제를 추구하면서 다양한 사업 분야에 무리하게 진출해 조직 내 혼란과 효율성 저하 등 부정적인 결과가 속출하고 있다는 지적이 나오고 있다.,negative
아프리카개발은행,아프리카개발은행이 최근 프로젝트 자금 집행 과정에서 비효율적인 관리와 부정확한 보고로 인해 심각한 신뢰 하락을 겪고 있다는 비판이 제기되고 있습니다.,negative
캐리 트레이드,최근 금융 시장에서 캐리 트레이드의 무분별한 확대로 인해 환율 변동성과 금융 불안이 심화되고 있어 투자자들과 전문가들 사이에서 우려의 목소리가 커지고 있다.,negative
통화안정증권,최근 금융시장에서 통화안정증권의 발행이 잦아지면서 시중 유동성 감소와 투자자들의 불안 심리가 심화되고 있다는 지적이 나오고 있다.,negative
