단어,rater1,rater2
3기_신도시,1,1
4대강,1,1
ASF,1,1
AZ_백신,1,1
BBK,1,1
BMW,1,1
BMW_차량,1,1
BMW코리아,1,1
BNK,1,1
BTJ,1,1
CCTV,1,1
CDC,1,1
CJ대한통운,1,1
CPR,1,1
City,1,1
DNA,1,1
EBS,1,1
EGR,1,1
ELS,1,1
EMA,1,1
ESG,1,1
Education,1,1
English,1,1
FDA,1,1
GS25,1,1
HDC,1,1
HMM,1,1
IBK,1,1
ICT,1,1
IEM,1,1
ILO,1,1
IMF,1,1
IPO,1,1
JMS,1,1
JTBC,1,1
KF80,1,1
KTX,1,1
LG화학,1,1
LH_직원,1,1
NCC,1,1
OECD,1,1
PCR,1,1
PCR_검사,1,1
RSV,1,1
S&P,1,1
SDI,1,1
SKY,1,1
SK그룹,1,1
SK이노베이션,1,1
SNS,1,1
SPC,1,1
SPL,1,1
SRT,1,1
TBS,1,1
TV_수신료,1,1
TV조선,1,1
WFM,1,1
education,1,1
e스포츠협회,1,1
n번방,1,1
support,1,1
tvN,1,1
가동률,1,1
가사도우미,1,1
가산점,1,1
가석방,1,1
가습기,1,1
가습기_살균제,1,1
가입자,1,1
가자지구,1,1
가정폭력,1,1
가족부,1,1
가짜뉴스,1,1
가처분,1,1
가해자,1,1
간담회,1,1
간호법,1,1
간호사,1,1
간호조무사,1,1
감독관,1,1
감사원,1,1
감사원장,1,1
감소세,1,1
감염경로,1,1
감염병,1,1
감염원,1,1
감염자,1,1
감염증,1,1
감찰_중단,1,1
감찰부,1,1
감찰위,1,1
갑판원,1,1
강기정,1,1
강남구,1,1
강남역,1,1
강래구,1,1
강릉선,1,1
강북삼성병원,1,1
강서구,1,1
강수량,1,1
강아지,1,1
강원도,1,1
강원랜드,1,1
강원랜드_채용비리,1,1
강제징용,1,1
강제추행,1,1
강추위,1,1
강화군,1,1
개그맨,1,1
개발원,1,1
개인정보,1,1
개정안,1,1
개천절,1,1
개편안,1,1
개학_연기,1,1
개헌안,1,1
개혁안,1,1
개혁위,1,1
거래대금,1,1
거래소,1,1
거부자,1,1
거짓말,1,1
건강관리,1,1
건강보험,1,1
건물주,1,1
건설_현장,1,1
건설노조,1,1
건설사,1,1
건설현장,1,1
건조기,1,1
건축물,1,1
검경_수사권,1,1
검사들,1,1
검사소,1,1
검사장,1,1
검사키트,1,1
검수완박,1,1
검수완박_법안,1,1
검언유착,1,1
검정고시,1,1
검찰_개혁,1,1
검찰_수사,1,1
검찰_수사권,1,1
검찰_인사,1,1
검찰_조사,1,1
검찰개혁,1,1
검찰단,1,1
검찰청,1,1
검찰총장,1,1
게스트하우스,1,1
겨울철,1,1
격리_의무,1,1
격리자,1,1
결정권,1,1
결혼식,1,1
경공모,1,1
경기도,1,1
경기도교육청,1,1
경남도,1,1
경북대,1,1
경북대_의대,1,1
경북대병원,1,1
경북도,1,1
경비원,1,1
경사노위,1,1
경영계,1,1
경영권_승계,1,1
경영진,1,1
경영책임자,1,1
경쟁력,1,1
경쟁률,1,1
경주시청,1,1
경찰_통제,1,1
경찰관,1,1
경찰국,1,1
경찰국_신설,1,1
경찰국장,1,1
경찰대,1,1
경찰수업,1,1
경찰청,1,1
경찰청장,1,1
경찰총장,1,1
경희대,1,1
계엄령,1,1
계열사,1,1
고검장,1,1
고교학점제,1,1
고기압,1,1
고등학교,1,1
고등학생,1,1
고래고기,1,1
고려대,1,1
고령자,1,1
고령층,1,1
고발_사주,1,1
고발사주,1,1
고발장,1,1
고사장,1,1
고소인,1,1
고소장,1,1
고속도로,1,1
고수온,1,1
고시원,1,1
고양시,1,1
고양이,1,1
고용노동부,1,1
고용보험,1,1
고용부,1,1
고위험군,1,1
고혈압,1,1
골프장,1,1
공공기관,1,1
공공부문,1,1
공공성,1,1
공교육,1,1
공권력,1,1
공권력_투입,1,1
공기업,1,1
공기청정기,1,1
공동체,1,1
공론화,1,1
공론화위,1,1
공모전,1,1
공무원,1,1
공사장,1,1
공소시효,1,1
공소장,1,1
공소장_변경,1,1
공수처,1,1
공수처법,1,1
공수처장,1,1
공영방송,1,1
공정성,1,1
공정위,1,1
공직선거법,1,1
공직자,1,1
공휴일,1,1
과거사위,1,1
과로사,1,1
과불화,1,1
과실치사상,1,1
과징금,1,1
과태료,1,1
관리군,1,1
관리청,1,1
관세청,1,1
관악구,1,1
광복절,1,1
광복회,1,1
광주시,1,1
광주지법,1,1
광화문,1,1
광화문_집회,1,1
괴리율,1,1
교과서,1,1
교권_침해,1,1
교도소,1,1
교부금,1,1
교사들,1,1
교육감,1,1
교육과정,1,1
교육법,1,1
교육부,1,1
교육장,1,1
교육청,1,1
교육활동,1,1
교육활동_보호,1,1
교직원,1,1
교통사고,1,1
구급차,1,1
구로구,1,1
구성원,1,1
구속영장,1,1
구속영장_청구,1,1
구속적부심,1,1
구제역,1,1
구조물,1,1
구조조정,1,1
구직자,1,1
구청장,1,1
구치소,1,1
국가고시,1,1
국가교육회의,1,1
국공립,1,1
국과수,1,1
국립공원,1,1
국립대,1,1
국립대병원,1,1
국립중앙의료원,1,1
국민대,1,1
국민들,1,1
국민안심병원,1,1
국민연금,1,1
국민은행,1,1
국민의당,1,1
국민의힘,1,1
국민혁명당,1,1
국방부,1,1
국방부_검찰단,1,1
국세청,1,1
국수,1,1
국수본,1,1
국정감사,1,1
국정농단,1,1
국정원,1,1
국정원_특활비,1,1
국정원장,1,1
국정조사,1,1
국정화,1,1
국제고,1,1
국제유가,1,1
국토부,1,1
국회의원,1,1
군산공장,1,1
군인권,1,1
권고안,1,1
권력기관,1,1
권익위,1,1
극단적_선택,1,1
근로시간,1,1
근로시간_단축,1,1
근로시간_제도,1,1
근로자,1,1
근무자,1,1
글로벌,1,1
글로컬,1,1
금감원,1,1
금융위,1,1
금지법,1,1
금호타이어,1,1
급유선,1,1
기관장,1,1
기내식,1,1
기념식,1,1
기대감,1,1
기동대,1,1
기무사,1,1
기본권,1,1
기본급,1,1
기부금,1,1
기상청,1,1
기성용,1,1
기소권,1,1
기숙사,1,1
기아차,1,1
기업은행,1,1
기자간담회,1,1
기자회견,1,1
기재부,1,1
기저질환,1,1
기초연금,1,1
기초자산,1,1
기피_신청,1,1
기획관,1,1
기획사,1,1
기획전,1,1
긴급체포,1,1
김포골드라인,1,1
깔따구,1,1
꾸러미,1,1
나이스,1,1
나이지리아,1,1
낙동강,1,1
낙태죄,1,1
낚싯배,1,1
난마돌,1,1
난방비,1,1
남부지검장,1,1
남아공,1,1
남양유업,1,1
남자친구,1,1
남해안,1,1
납세자,1,1
내년도_최저임금,1,1
내연녀,1,1
네트워크,1,1
넷플릭스,1,1
노동계,1,1
노동부,1,1
노동시간,1,1
노동이사제,1,1
노동자,1,1
노동자들,1,1
노동절,1,1
노동조합,1,1
노래방,1,1
노래주점,1,1
노량진,1,1
노로바이러스,1,1
노바백스,1,1
노바백스_백신,1,1
노조법,1,1
노조원,1,1
녹취록,1,1
놀이기구,1,1
농식품부,1,1
농업인,1,1
농작물,1,1
뇌물수수,1,1
뇌전증,1,1
뇌졸중,1,1
뇌출혈,1,1
누적_확진자,1,1
누진제,1,1
뉴스데스크,1,1
뉴스타파,1,1
느릅나무,1,1
늘봄학교,1,1
다나스,1,1
다뉴브강,1,1
다단계,1,1
다문화,1,1
다큐멘터리,1,1
단계적_일상,1,1
단계적_일상회복,1,1
단국대,1,1
단백질,1,1
단체행동,1,1
단톡방,1,1
달러화,1,1
담당관,1,1
당뇨병,1,1
당사자,1,1
당선인,1,1
당선자,1,1
대검_부장회의,1,1
대검찰청,1,1
대구경북,1,1
대구교회,1,1
대구시,1,1
대구의료원,1,1
대국민,1,1
대기업,1,1
대남병원,1,1
대리점,1,1
대림산업,1,1
대법관,1,1
대법원,1,1
대법원장,1,1
대변인,1,1
대사관저,1,1
대상자,1,1
대성고,1,1
대성호,1,1
대우조선,1,1
대우조선해양,1,1
대원들,1,1
대의원,1,1
대입제도,1,1
대장균,1,1
대장동,1,1
대장동_의혹,1,1
대장동_일당,1,1
대전시,1,1
대전협,1,1
대주주,1,1
대중교통,1,1
대체복무제,1,1
대통령,1,1
대통령실,1,1
대표이사,1,1
대피소,1,1
대학생,1,1
대학원,1,1
대한민국,1,1
대한통운,1,1
대한항공,1,1
대행사,1,1
대화방,1,1
더불어민주당,1,1
더블링,1,1
더블스타,1,1
데이터,1,1
데이트,1,1
델타_변이,1,1
도곡동,1,1
도로공사,1,1
도르지_소장,1,1
도봉구,1,1
도서관,1,1
도시락,1,1
도이치모터스,1,1
독감_백신,1,1
독감백신,1,1
독극물,1,1
독립운동,1,1
독서실,1,1
돈스코이호,1,1
돌잔치,1,1
돌파감염,1,1
동거녀,1,1
동거인,1,1
동덕여대,1,1
동백꽃,1,1
동부구치소,1,1
동아리,1,1
동양대,1,1
동양대_총장,1,1
동영상,1,1
동작구,1,1
동절기,1,1
동해안,1,1
돼지열병,1,1
두산건설,1,1
드라마,1,1
드라이브,1,1
드라이브_스루,1,1
드루킹,1,1
등교_개학,1,1
등교_수업,1,1
등교개학,1,1
등교수업,1,1
등락률,1,1
등록금,1,1
등록금_반환,1,1
등산로,1,1
디지털,1,1
디지털_성범죄,1,1
라게브리오,1,1
라니티딘,1,1
라디오,1,1
라이브,1,1
라이프,1,1
라임_사태,1,1
러시아,1,1
럼피스킨병,1,1
레끼마,1,1
레미콘,1,1
레지던트,1,1
렉키로나주,1,1
렘데시비르,1,1
롤스로이스,1,1
롯데그룹,1,1
롯데월드,1,1
롯데홈쇼핑,1,1
룸카페,1,1
르노삼성,1,1
리벤지,1,1
리치웨이,1,1
리테일,1,1
마무리,1,1
마스크,1,1
마스크_착용,1,1
마스크_착용_의무,1,1
마약_음료,1,1
마약_투약,1,1
마약_투약_혐의,1,1
마약류,1,1
마와르,1,1
마이삭,1,1
마지막,1,1
만민중앙교회,1,1
만족도,1,1
맞춤형,1,1
매뉴얼,1,1
매니저,1,1
매도호가,1,1
매드독,1,1
매수호가,1,1
매트리스,1,1
메르스,1,1
메르스_환자,1,1
메시지,1,1
멧돼지,1,1
면마스크,1,1
면역력,1,1
명성교회,1,1
명예훼손,1,1
명지병원,1,1
모니터링,1,1
모바일,1,1
모의평가,1,1
모해위증,1,1
목격자,1,1
목소리,1,1
목욕탕,1,1
무기징역,1,1
무기한,1,1
무단이탈,1,1
무더위,1,1
무량판,1,1
무이파,1,1
무임승차,1,1
무정차_통과,1,1
무혐의,1,1
문화재,1,1
물놀이,1,1
물놀이장,1,1
물류센터,1,1
미디어,1,1
미래에셋대우,1,1
미성년자,1,1
미세먼지,1,1
미세먼지_농도,1,1
미수습자,1,1
미얀마,1,1
미접종자,1,1
미추홀구,1,1
미투운동,1,1
미호강,1,1
민간인,1,1
민간인_사찰,1,1
민노총,1,1
민방위,1,1
민식이,1,1
민정수석,1,1
민주노총,1,1
민주당,1,1
민주연구원,1,1
민주주의,1,1
민통선,1,1
밀반입,1,1
밀접접촉자,1,1
바른미래당,1,1
바이러스,1,1
바이오,1,1
바이킹,1,1
박람회,1,1
반도체,1,1
반려견,1,1
반려동물,1,1
반지하,1,1
발전소,1,1
