단어,rater1,rater2
가계약,1,1
가계정,1,1
가도,1,1
가수금,1,1
가수증,1,1
가용 자원,1,1
가이던스,1,1
가이드,1,1
가이드라인,1,1
가이드북,1,1
가적,1,1
가처분 소득,1,1
가표,1,1
각축,1,1
간벽,1,1
간선,1,1
간수,1,1
간접 노무비,1,1
갈취,1,1
감량,1,1
감쇠,1,1
개런티,1,1
객장,1,1
거래 실례 가격,1,1
거래선,1,1
거래원,1,1
거마비,1,1
거버넌스,1,1
건폐율,1,1
검찰,1,1
검취,1,1
검치,1,1
격간 운행,1,1
견주로,1,1
견책,1,1
결문,1,1
고용주,1,1
고정,1,1
공실,1,1
공지,1,1
공차,1,1
관재 업무,1,1
교환 차금,1,1
구휼,1,1
국기,1,1
국지,1,1
궐석,1,1
규제 샌드박스,1,1
규제 프리 존,1,1
그린 빌리지,1,1
그린 카,1,1
그린 푸드 존,1,1
그린벨트,1,1
그린웨이,1,1
글로벌,1,1
"글로벌 스탠더드, 글로벌 스탠다드*",1,1
기성금,1,1
기스,1,1
기예,1,1
기작,1,1
기채지,1,1
길항 작용,1,1
낙도 보조 항로,1,1
내러티브,1,1
"내레이션, 나레이션*",1,1
"내레이터, 나레이터*",1,1
내셔널 트러스트,1,1
내역,1,1
내역서,1,1
내용 연수,1,1
네고,1,1
네트워킹,1,1
네티즌,1,1
노 마진,1,1
노미네이트,1,1
노역,1,1
노이즈,1,1
노폭,1,1
노하우,1,1
노후 시설,1,1
논 슬립,1,1
농아,1,1
뉴스레터,1,1
닉네임,1,1
"님비, NIMBY",1,1
"다이, 디아이와이, DIY",1,1
대부 계약 대부료,1,1
대체 수지,1,1
데스크,1,1
데이터 뱅크,1,1
"데커레이션, 데코레이션*",1,1
도과,1,1
독거노인,1,1
동절기,1,1
"디브레인, dBrain",1,1
디스카운트 세일,1,1
"디스카운트, 디시, DC",1,1
"디아르, DR",1,1
"디엠, DM",1,1
디지털 셀프 출판,1,1
디지털 포렌식,1,1
"디티지, DTG",1,1
디퓨전 숍,1,1
딜레이,1,1
라이브 폴,1,1
라이브러리,1,1
"라이선스, 라이센스*",1,1
라이프 케어,1,1
랜드마크,1,1
러시아워,1,1
레저,1,1
"렌털, 렌탈*",1,1
렌트 푸어,1,1
로드 맵,1,1
로드킬,1,1
로열티,1,1
로컬 푸드,1,1
로테이션,1,1
"로하스, LOHAS",1,1
론칭,1,1
롤 모델,1,1
루미나리아,1,1
루트,1,1
리뉴얼,1,1
"리더십, 리더쉽*",1,1
리메이크,1,1
리모델링,1,1
리바이벌,1,1
리버서블,1,1
리뷰,1,1
리사이클링,1,1
리스크,1,1
리컨스트럭션,1,1
리콜,1,1
리턴,1,1
리플릿,1,1
리허설,1,1
마진,1,1
마커,1,1
마케팅 리서치,1,1
마켓,1,1
마켓 셰어,1,1
마크,1,1
매너리,1,1
매뉴얼,1,1
매니지드 서비스,1,1
매니페스토,1,1
매스 프로덕션,1,1
매칭 그랜트,1,1
매칭 시스템,1,1
매칭 펀드,1,1
머스트 해브,1,1
머프,1,1
멀티태스킹,1,1
"메르스, MERS",1,1
메신저,1,1
메이커,1,1
메이커 교육,1,1
메이커 스페이스,1,1
메카,1,1
멘토,1,1
멘토링,1,1
"멤버십, 멤버쉽*",1,1
명일,1,1
모객비,1,1
모니터링,1,1
무드,1,1
"무크, MOOC",1,1
물품 수불부,1,1
바우처 제도,1,1
바이럴,1,1
바이어,1,1
바이오메디컬 허브,1,1
"바이오스, BIOS",1,1
바잉 파워,1,1
방화선,1,1
"배너, 배너 광고",1,1
배리어 프리,1,1
백 드롭,1,1
"밸런스, 발란스*",1,1
버블,1,1
벌키,1,1
법면 보호,1,1
벤더,1,1
"벤처 캐피털, VC",1,1
벤치마킹,1,1
벨트,1,1
별첨,1,1
보이스 피싱,1,1
"보태닉 공원, 보타닉 공원*",1,1
보텀업,1,1
"볼런티어, 볼룬티어*",1,1
부대시설,1,1
불구,1,1
불우 이웃,1,1
뷰파인더,1,1
브랜드,1,1
브로슈어,1,1
"브이에이엔, VAN",1,1
"브이오디, VOD",1,1
블랙 아이스,1,1
블랙리스트,1,1
블랙박스,1,1
블랙아웃,1,1
"블록, 블럭*",1,1
비상 콜,1,1
"비아르티, BRT",1,1
"비엠아이, BMI, 비엠 지수, BM 지수",1,1
"비엠에스, BMS",1,1
비주얼 머천다이징,1,1
비즈니스 네트워킹 허브,1,1
비즈니스 센터,1,1
"비티엘, BTL",1,1
"비티오, BTO",1,1
비품,1,1
비회,1,1
사이즈,1,1
사일로,1,1
샘플,1,1
샘플링,1,1
생력화,1,1
서밋,1,1
서포터스,1,1
선택 사양,1,1
설계 경기,1,1
"설루션, 솔루션*",1,1
세미나,1,1
세이브,1,1
세이프 가드,1,1
세컨더리 보이콧,1,1
센서스,1,1
셔틀버스,1,1
"소셜 네트워크 서비스, SNS",1,1
소셜 커머스,1,1
소스,1,1
소정 양식,1,1
쇼핑몰,1,1
수배,1,1
수속,1,1
수수,1,1
수순,1,1
수지,1,1
수지고,1,1
수취인,1,1
수혜자,1,1
수화인,1,1
스마트 그리드,1,1
스마트 워크,1,1
스몸비,1,1
스카이라운지,1,1
스캔들,1,1
스케일,1,1
스케줄,1,1
스쿨 존,1,1
스크랩,1,1
스크리닝,1,1
스크린,1,1
스크린 도어,1,1
스키드 마크,1,1
스타트업,1,1
스튜디오,1,1
스튜어드십 코드,1,1
스포츠 콤플렉스,1,1
"스포트라이트, 스폿라이트*",1,1
스폰서,1,1
스폿 광고,1,1
스폿 뉴스,1,1
슬랙 어저스터,1,1
슬로건,1,1
승률 비용,1,1
시건,1,1
시건장치,1,1
시너지,1,1
시너지 효과,1,1
시말서,1,1
"시머트리, 시메트리*",1,1
시스템,1,1
"시에스, CS",1,1
시연,1,1
"시티, CT",1,1
실권,1,1
실례 가격,1,1
실링,1,1
실장,1,1
심벌,1,1
심포지엄,1,1
싱크 탱크,1,1
쓰나미,1,1
"아르앤디, R&D, R/D",1,1
"아르에프아이디, RFID",1,1
"아르에프피, RFP",1,1
"아르엠에스, RMS",1,1
아우트라인,1,1
아우트리치,1,1
아이디어 챌린지,1,1
"아이시티, ICT",1,1
"아이아르, IR",1,1
"아이오티, IoT",1,1
아이템,1,1
"아이티, IT",1,1
"아이피, IP",1,1
"아이핀, I-PIN",1,1
아카이브,1,1
아키텍처,1,1
아킬레스건,1,1
아트 페어,1,1
안치대,1,1
애버리지,1,1
앵커 시설,1,1
어메니티,1,1
어젠다,1,1
"언밸런스, 언발란스*",1,1
얼리 어답터,1,1
업스트림,1,1
"에스에스엠, SSM",1,1
"에스오시, SOC",1,1
"에이아르, AR",1,1
"에이아이, AI",1,1
"에이엠아르, AMR",1,1
"에이엠아이, AMI",1,1
"에이치디티브이, HDTV",1,1
"에이치아르디, HRD",1,1
"에이티, AT",1,1
"엔에프시 기술, NFC 기술",1,1
"엔유아이, NUI",1,1
"엔지오, NGO",1,1
"엔피오, NPO",1,1
"엠디, MD",1,1
엠블럼,1,1
"엠오유, MOU",1,1
영조물,1,1
예찰 검사,1,1
오너,1,1
"오디에이, ODA",1,1
"오에스, OS",1,1
"오에이, OA",1,1
오염 우심 해역,1,1
"오이시디, OECD",1,1
오토 프로그램,1,1
"오투오, O2O",1,1
오프닝,1,1
오픈 소스,1,1
오피니언 리더,1,1
용지대,1,1
"워라밸, WLB",1,1
"워크숍, 워크샵*",1,1
원무,1,1
"유 시티, U-city",1,1
"유시시, UCC",1,1
"유에이치디 방송, UHD 방송",1,1
유저,1,1
"유전자 조작, 유전자 재조합, GMO",1,1
의료 텔레메트리,1,1
이미테이션,1,1
이벤트,1,1
"이브이, EV",1,1
이슈,1,1
"이엠에스, EMS",1,1
"이엠에스, EMS",1,1
인바운드,1,1
인센티브,1,1
인터넷 빌링 제도,1,1
인터랙티브,1,1
인프라,1,1
인플레이션,1,1
인플루언서,1,1
일용 잡급,1,1
잡 네트워킹,1,1
장애우,1,1
저널리,1,1
적의 조치,1,1
적지,1,1
전자 바우처,1,1
접속 도로,1,1
정주,1,1
주니어 보드,1,1
주재소,1,1
지급 미필,1,1
"지아이에스, GIS",1,1
지체 상,1,1
"지투지, G2G",1,1
직접 노무비,1,1
집진 시설,1,1
차면 시설,1,1
체크 프라이스,1,1
추심,1,1
추후 통보,1,1
출납 폐쇄,1,1
출산율,1,1
카 셰어링,1,1
"카 시트, 베이비 카 시트",1,1
"카운슬링, 카운셀링*",1,1
카탈로그,1,1
카풀,1,1
카피,1,1
캐스팅 보트,1,1
커뮤니티,1,1
"컨베이어, 콘베이어*",1,1
컨벤션 뷰로,1,1
"컨트롤 타워, 콘트롤 타워*",1,1
컨트리 리스크,1,1
컨틴전시 플랜,1,1
"컬래버레이션, 콜라보레이션*",1,1
"컴퓨터 시아르티, 컴퓨터 CRT",1,1
컴프레서,1,1
케어,1,1
코디네이터,1,1
"콘퍼런스, 컨퍼런스*",1,1
쿨링 오프,1,1
크라우드 소싱,1,1
크랙,1,1
클레임,1,1
키보드 보안,1,1
"타깃 마케팅, 타겟 마케팅*",1,1
탈취,1,1
"태스크 포스, 태스크 포스팀, TF, TF팀",1,1
턴키 계약,1,1
테이저 건,1,1
테크노폴리스,1,1
템플 스테이,1,1
투기,1,1
투자선,1,1
트레이드마크,1,1
특근,1,1
특사 배달,1,1
특약,1,1
"파이버, 화이바*",1,1
파출 검사,1,1
판매 조서,1,1
팝업 창,1,1
패밀리 사이트,1,1
패스워드,1,1
"팸플릿, 팜플렛*",1,1
퍼블리시티권,1,1
퍼블릭 도메인,1,1
펀드,1,1
페스티벌,1,1
페이,1,1
편도,1,1
편무 계약,1,1
포럼,1,1
포트 홀,1,1
표명 변경,1,1
풍해,1,1
프라이드,1,1
프라이버시,1,1
프랜차이저,1,1
프로슈머,1,1
프리 포트,1,1
플라자,1,1
플래너,1,1
플래카드,1,1
플랜트 수출,1,1
플랫폼,1,1
플렉시블 디스플레이,1,1
"피비 상품, PB 상품",1,1
"피아르, PR",1,1
"피엘 상품, PL 상품",1,1
픽토그램,1,1
하례회,1,1
하우징 페어,1,1
하이웨이,1,1
하자 보증 기간,1,1
하차장,1,1
학령,1,1
학부형,1,1
한,1,1
할당 요,1,1
할증료,1,1
할척 관세,1,1
합의 관할,1,1
핫 머니,1,1
핫라인,1,1
항만국 통제,1,1
해시태그,1,1
"해썹, HACCP",1,1
해약,1,1
핸드레일,1,1
핸드메이드,1,1
핸드북,1,1
핸디캡,1,1
행정 재산의 관리 위탁,1,1
허브,1,1
헤드헌터,1,1
호발기,1,1
호천,1,1
혹서,1,1
혹한,1,1
화인,1,1
환 리스크 헤징,1,1
환가,1,1
환매,1,1
환지,1,1
환차손,1,1
환취권,1,1
휴테크,1,1
