단어,aspect_term_후보여부
간대성토양,1
강수효율,1
개발지수(임도),1
건조지수,1
공정계획(임도),1
나무실어내기,1
돌연변이유도물질,1
무생물적,1
무생물적환경,1
무역환경위원회,1
밀도비의존요인,1
가이아(Gaia),1
경도(Hardness),1
계면활성제(Surface active agent),1
다이옥신(Dioxin),1
덕트(Duct),1
동경선언(Tokyo Declaration),1
링겔만 매연 농도표(Ringelman smoke chart),1
먹이연쇄(Food chain),1
브라운 운동(Browinian movement),1
백필터(Bag filter),1
사후처리기술(End of pipe technology),1
삼원촉매장치(Threeway catalytic converter),1
성층현상(Stratification),1
시·엔 비(C/N ration),1
"에스에이알(SAR, sodium absorption ratio)",1
음이온교환수지(Anion-exchange resin),1
이따이이따이병(Itai Itai disease),1
피피비(ppb),1
피피엠(ppm),1
"회전원판접촉법(PBC, Rotating biological contactors) ",1
T-N(Total Nitrogen),1
T-P(Total Phosphorus),1
TS(Total Solids),1
VS(Volatile Solids),1
pH(Potential Hydrogen),1
ASNA(Artificial Soil Net Agglutination : 법면녹화배토습식공법),1
미나마따병(Minamata Disease),1
이따이이따이 병(Itai Itai Bisease),1
national trust,1
LD 50,1
Leq(1h),1
2백해리 수역-EEZ,1
WECPNL,1
가스 크로마토 그래프,1
가스검지관,1
"감마(γ, gamma)",1
고기후학,1
건조단열감률,1
고압신경증후군,1
고생물학,1
과망간산 칼륨소비량,1
규제치·기준치,1
기후변동에 관한 정부간 심의회,1
네오다위니즘,1
내셔널 트러스트,1
다이옥신의 독성과 규제치,1
단백공학,1
대륙 이동설,1
딥 에콜로지,1
람사조약,1
라이프사이를,1
데시벨(dB),1
라인강오염사고,1
도노라사건,1
"러셀, 아인슈타인 선언",1
러브 운하 사건·러브 캐널 사건,1
렘(Rem),1
레벨(level),1
록카쇼무라 원자력기지,1
링겔만 매연 농도표,1
마루폴73/78조약,1
로스앤젤레스 스모그  사건,1
레드 데이터 북,1
리우 선언·환경과 개발에 관한 리우 선언,1
룩셈부르크 합의,1
모니터링,1
멜트 다운,1
모터크로스,1
매향리 미군기지,1
물고기 독성시험,1
발디즈 원칙,1
반수치사량,1
발생공학,1
북해의 바다표범 대량사 사건,1
분자생물학,1
북미 대평원 지대,1
비용·편익분석,1
비정부기구와 환경단체,1
사바·사라와크 주,1
사회생물학,1
산업연관분석,1
사회적 비용,1
생명공학,1
생물경제학,1
생태지향주의,1
서기 2000년의 지구,1
생태학,1
생활기후학,1
생물학적 산소요구량,1
성장한계론,1
스테이드 오브 더 월드,1
식량 안전보장,1
식물성장조정제,1
알슈서미트,1
에스원 댐,1
액상화 현상,1
염소가스중독,1
연속회분식 활성 슬러지공법,1
예치금제도,1
오타와 서미트,1
영종도 신공항,1
원자력발전소의 수명,1
원자력발전소의 출력 조정 운전,1
외부 불경제,1
원자로의 폭격,1
유기염소 화합물,1
유기염소계 용제,1
원자로심 용융,1
원자력발전소의 사고,1
원유유출 사고,1
웨스팅하우스,1
우루과이 라운드,1
위험평가제도,1
유엔 해양법 회의,1
유리잔류염소,1
유엔개발계획,1
유엔 해양법 조약,1
이타이이타이병,1
자동차의 사회적 비용,1
자연자원의 공익적 기능,1
인공 감미료,1
자원 다소비형 산업,1
자원 낭비,1
저칼로리 식품,1
작업환경,1
정상 개방계,1
죽음의 재,1
정부개발원조,1
주파수 분석,1
전지구적 문제·지구환경,1
제2차 세계 기후회의,1
전파 장애,1
점 오염원,1
지구물리학,1
천연기념물,1
채무와 자연보호의 교환,1
청감보정회로,1
클라우디우스,1
카린 B호 사건,1
총인·전(全)인,1
침묵의 봄,1
침몰하는 방주,1
카르노 사이클,1
체르노빌 원자력발전소 사고,1
테크놀로지 스트레스,1
토양 유출의 2차 재해,1
페레스트로이카와 환경문제,1
패스트푸드점,1
팀 스피리트,1
트럭 수송,1
페르시아 만 전쟁의 환경파괴,1
특정 플론,1
페르시아 만 전쟁,1
플리 마켓,1
하수 오니 처리사업,1
플로노로에스테 사건,1
플라스틱 공해,1
해저 유전,1
해양생태학,1
해양 투기,1
"해양오염 방지 자재, 약재의 성능시험 기준",1
핵연료의 수송,1
핵의 겨울,1
해면 상승에 관한 소국회의,1
해양관측선,1
환경공학,1
환경관리인,1
환경과 개발에 관한 세계위원회,1
환경감시원,1
환경경영체제 규격,1
화학물질에 대한 수출 상대국에 사전통보,1
혐기성 분해,1
헬싱키 선언,1
환경성과 평가규격,1
환경의 유한성,1
환경의 날·세계환경의 날,1
후 염소처리,1
환경라벨링 규격,1
