word,비교A,비교B
FAO산림위원회,1,1
가로침식,1,1
가뭄,1,1
가뭄피해,1,1
가속침식,1,1
간선임도,1,1
간접소화법,1,1
갈색산림토양군,1,1
강수,1,1
강수량,1,1
건조기,1,1
건조기후,1,1
건조피해,1,1
건축한계(임도),1,1
관리비,1,1
교각(임도),1,1
교차부(임도),1,1
국소기후,1,1
국제환경협약,1,1
국지기후,1,1
기상,1,1
기후,1,1
기후대,1,1
기후도,1,1
기후변화협약,1,1
기후인자,1,1
기후적,1,1
기후품종,1,1
나무껍질,1,1
나무미끄럼,1,1
나무베기,1,1
나무벤땅,1,1
나비넓힘(임도,1,1
농약비,1,1
농어촌정비법,1,1
대기오염,1,1
대기후,1,1
대류성강수,1,1
대륙기후,1,1
면상침식,1,1
멸종위기야생동식물,1,1
무대토양,1,1
물기,1,1
물순환,1,1
물침식,1,1
미기상,1,1
미기후,1,1
미세기후,1,1
바닥침식,1,1
바람침식,1,1
발화온도,1,1
산불,1,1
화재,1,1
진화,1,1
소화,1,1
방화선,1,1
건조,1,1
비,1,1
눈,1,1
태풍,1,1
재해,1,1
폭염,1,1
한파,1,1
바람,1,1
연기,1,1
피해,1,1
복구,1,1
미세먼지,1,1
먼지,1,1
대기,1,1
공기,1,1
물,1,1
수질,1,1
수분,1,1
토양,1,1
흙,1,1
나무,1,1
숲,1,1
산림,1,1
나뭇잎,1,1
생태계,1,1
생물,1,1
동물,1,1
식물,1,1
오염,1,1
탄소,1,1
탄소배출,1,1
온실가스,1,1
환경,1,1
생태,1,1
자연,1,1
기온,1,1
온도,1,1
경고,1,1
경보,1,1
주의보,1,1
에너지,1,1
가청음(Audible sound),1,1
"GATT(General Agreements on Taiff and Trade, 관세와 무역에 관한 일반 협정)",1,1
건식탈황법(Dry -type desulfurization process),1,1
고정오염원(Stationary sources),1,1
공기청정기(Air cleaner),1,1
"국제개발회의(IDA, International Development Association)",1,1
그린라운드(Green Round),1,1
그린벨트(Green belt),1,1
그린 GNP(Green GNP),1,1
그린피스(Green Peace),1,1
기온역전,1,1
기후변화협약(Climate Change Convention),1,1
과징금제도,1,1
과태료,1,1
광화학 스모그(Photochemical smog),1,1
나이로비선언(Nairobi Declaration),1,1
농도(Concentration),1,1
님비현상(NIMBY),1,1
더스트(Dust),1,1
디젤기관(Diesel engine),1,1
디티존법(Dithizone method),1,1
대기오염물질(Air pollutants),1,1
대장균군(Coliform group),1,1
"데시벨(dB, Decibel)",1,1
라군(Lagoon),1,1
리우선언(Rio Declaration),1,1
만성독성(Chronic toxicity),1,1
몬트리올 의정서(Montreal Protocol),1,1
무과실 책임 ,1,1
무임승차(Free rider),1,1
미스트(Mist),1,1
메틸수은(Methyl mercury),1,1
매연(Smoke),1,1
맨홀(Man hole),1,1
바이패스(By-pass),1,1
바젤협약(Basel Convention),1,1
박테리오파지(Bacteriophage),1,1
방향족 화합물(Aromatic compound),1,1
벌킹(Bulking),1,1
부영양화(Eutrophication),1,1
부패(Decomposition),1,1
분뇨(Night soil),1,1
분뇨처리장,1,1
분류식 관거(Separated sewer),1,1
불쾌지수(Discomfort index),1,1
배수계통(Drainage system),1,1
배연탈황(Exhaust gas desulfurization),1,1
비산분진(Fugitive dust),1,1
"비소(As, Arsenic)",1,1
비색계(Colorimeter),1,1
비엔나 협정(Viena Convention),1,1
비점오염원(Non-point source),1,1
배출기준( Emission standard),1,1
배출부과금(Pollution charge),1,1
벤조피렌(Bezopyrene) ,1,1
벤츄리 스크러버(Venturi scrubber),1,1
산(Acid),1,1
산도(Acidity),1,1
산성폐수(Acid wastewater),1,1
산업폐기물(Industrial solid waste),1,1
산화지(Oxidation pond),1,1
산화처리,1,1
상수원 보호구역 ,1,1
석면(Asbestos),1,1
석면폐(Asbestosis),1,1
소독(Disinfecting),1,1
소음,1,1
수소염화불환탄소(HCFCs),1,1
스모그(Smog),1,1
슬러지 상승(Sludge rising),1,1
생물농축(Biological concentration),1,1
생물다양성협약(Biodiversity Convention),1,1
생물학적 지표(Biological index),1,1
생물학적처리(Biological treatment),1,1
생물화학적 산소요구량(Biochemical oxygen demand),1,1
생태계(Ecosystem),1,1
아젠다 21(Agenda 21),1,1
안정지(Stabilization pond,1,1
알칼리염소처리(Alkaline chlorination),1,1
알킬수은(Akylmercury,1,1
알킬벤젠슬폰산염(ABS),1,1
양이온교환수지(Cation exchange resin),1,1
엘니뇨 현상,1,1
역전층(Inversion layer),1,1
열섬현상,1,1
염기(Base),1,1
염기성(Basic),1,1
염소소독(Chlorine disinfection),1,1
염소요구량(Chlorine demand),1,1
염화불화탄소(Chlorofluoro carbons),1,1
ODA(Official Development assistance),1,1
오수(Domestic wastewater),1,1
오수정화시설,1,1
오염(Pollution),1,1
"오염자 부담원칙(Polluters Pay Principle, 3P)",1,1
"오존(Ozone, O3)",1,1
오존파괴지수(Ozone depletion potential),1,1
온실효과(Greenhous effect),1,1
"용존산소(DO, Dissolved oxygen)",1,1
우수토실(Storm overflow diverging tank),1,1
유엔환경계획기구(UNEP),1,1
유화제(Emulsifier),1,1
음이온 계면 활성제(Anionic surfactant),1,1
응결(Coagulation),1,1
응집침전(Coagulation settling),1,1
이산화탄소(CO2 ; Carbon dioxide),1,1
이화작용,1,1
인간환경선언,1,1
"인포테라(INFOTERRA, International referral System)",1,1
일반폐기물,1,1
"일산화탄소(CO, carbon monoxide)",1,1
입자상 오염물 ,1,1
에너지(Energy),1,1
NGO(Non-Governmental Organization),1,1
원심력 집진시설(Cyclone),1,1
원자흡광분석법(Atomic absorption analysis),1,1
자동차 결함시정제도(Recall system),1,1
적조현상(Red tide),1,1
전기집진기(Electroprecipitator),1,1
전도현상( Turn over),1,1
점오염원(Point source),1,1
점토(Clay),1,1
접촉산화법(Contact oxidation method),1,1
접촉안정법(Contact stabilization method),1,1
접촉여과법(Contact filtration),1,1
정화조(Septic tanks),1,1
조류(Algae),1,1
중금속(Heavy metal),1,1
중성세제(Detergents),1,1
